	k_rad(cm3s-1)	peq_min(cm-3)	k_capture(s-1)	k_emission(s-1)	k_deep(s-1)	k_nr_eff(s-1)	k_bulk_eff(s-1)	S_1(cm s-1)	S_2(cm s-1)	S_lower(cm s-1)	S_upper(cm s-1)	Mobility_values(cm2V-1s-1)	Diffusion_length(um)	LL	sigma_LL_factor
3155	7.33156275461313e-11	1995326616721266.0	1338557.636215009	772905.868116389	1419.1307139419653	1416.53258125987	325376.0011138298	9.841899226598484	2.4157119356296852	2.4157119356296852	9.841899226598484	0.4128085639621045	1.7867322046099825	0.4513473830719154	2.105824510752637
3156	7.290655054818653e-11	2012927606088268.8	1268594.0426848985	748173.3066658173	1328.5897042249242	1326.2370698756129	324761.3461380859	9.841899226598484	2.4157119356296852	2.4157119356296852	9.841899226598484	0.3938267054714854	1.7468205384922773	0.4503383575139759	2.102853168509003
3157	7.305180439796758e-11	2023354394384301.5	1204855.4310062956	744458.1062550663	1334.5900316348752	1332.2044359755203	326173.3984165091	9.507846491627088	2.4157119356296852	2.4157119356296852	9.507846491627088	0.4162847641339351	1.792044804302368	0.47129541596648294	2.047727686897726
3158	7.311418294446762e-11	2023354394384301.5	1177120.5069446499	741534.8421168113	1323.0952879008064	1320.741384696426	326439.31552976987	9.507846491627088	2.4157119356296852	2.4157119356296852	9.507846491627088	0.4179220948641757	1.7948340980635784	0.472914573214521	2.0454252823361383
3159	7.443029166085517e-11	2023354394384301.5	1217649.2866989179	765814.5471302771	1281.7539688931377	1279.6145169527288	332250.5605556821	9.507846491627088	2.4157119356296852	2.4157119356296852	9.507846491627088	0.407422121451364	1.756577503937436	0.4826407125450825	2.0183955400200926
3160	7.415185140231143e-11	2029793555376695.5	1261371.0540754595	777084.778511286	1300.0181553511525	1297.8491674979437	331508.1240032057	9.38414323103382	2.4157119356296852	2.4157119356296852	9.38414323103382	0.41143116598227764	1.7671742722914945	0.4852860935813921	2.010794449262536
3161	7.43647653438479e-11	2087315551772939.2	1378096.613155351	799039.7200555785	1432.8876113496565	1430.3253321325749	336866.3504007585	9.38414323103382	2.4157119356296852	2.4157119356296852	9.38414323103382	0.40898606541462423	1.7478466028981572	0.48222512533510326	2.0241499571743984
3162	7.40799589913751e-11	2084495755262284.0	1342246.0802791808	762147.784376324	1432.1691983562064	1429.4858874414147	335371.9488290705	9.38414323103382	2.4157119356296852	2.4157119356296852	9.38414323103382	0.41295721042132444	1.7602203366000695	0.4872567194168786	2.014945523323512
3163	7.449167236556168e-11	2087596808598254.5	1298063.737147415	756180.4342073892	1333.1037174625046	1330.7600732017488	337360.17402126227	9.38414323103382	2.4157119356296852	2.4157119356296852	9.38414323103382	0.39041358642935714	1.7064494595230115	0.4802025160245663	2.037881456715373
3164	7.442400719061849e-11	2016655007105293.8	1203972.8585014786	771835.6781807544	1202.843512067407	1200.9737624478485	331645.379251061	9.38414323103382	2.4157119356296852	2.4157119356296852	9.38414323103382	0.40431267510312774	1.7514573964126767	0.47461154810575407	2.037906361593565
